업종,의료기관명,의료기관주소(도로명),의료기관전화번호
의원,다솜의원,"부산광역시 남구 전포대로91번길 47 (문현동, 이마트 3층 일부)",051-637-7855
의원,당근정신건강의학과의원,"부산광역시 남구 유엔평화로 12, 3층 (대연동)",051-583-2453
의원,대연88마취통증의학과의원,"부산광역시 남구 진남로 4, 4층 (대연동)",051-625-0088
의원,대연류피부과의원,"부산광역시 남구 수영로 240-1, 이지스퀘어빌딩 2층 (대연동)",051-711-0630
의원,대연마취통증의학과의원,"부산광역시 남구 수영로 223,  삼창빌딩 3층 (대연동)",051-628-8280
의원,대연맑은내과의원,"부산광역시 남구 수영로 233, 민석빌딩 11층 일부호 (대연동)",051-715-8277~8
의원,대연봄정신건강의학과의원,"부산광역시 남구 수영로 233, 민석빌딩 8층 (대연동)",051-612-1335
의원,대연성모안과의원,부산광역시 남구 수영로 198-1 (대연동),051-628-0700
의원,대연으뜸내과의원,"부산광역시 남구 못골로 87, 3층 305호 (대연동)",051-710-3710
의원,대연의원,"부산광역시 남구 수영로 256, 혜인한의원 2층 (대연동)",051-624-0607
의원,대연정형외과의원,"부산광역시 남구 수영로 225-1, 2층 (대연동)",051-914-1234
의원,대연탑비뇨의학과의원,"부산광역시 남구 수영로 240, 정성약국 3층 (대연동)",051-612-1141
의원,대연힐정신건강의학과의원,"부산광역시 남구 수영로 295, 503호 (대연동)",051-711-9030
의원,대한메포츠의원,"부산광역시 남구 황령대로492번길 8, 영보빌딩 7층 (대연동)",051-626-1275
의원,더조은의원,"부산광역시 남구 수영로 233, 민석빌딩 3,5층 (대연동)",865-9393
의원,더퍼스트피부과의원,"부산광역시 남구 수영로 299, 3층 (대연동)",051-714-7099
의원,더편한마취통증의학과의원,"부산광역시 남구 못골로 87, 303,304호 (대연동)",051-628-7575
의원,더하얀의원,"부산광역시 남구 수영로 345, 115동 306호 (대연동, 대연힐스테이트푸르지오)",626-5599
의원,도레미의원,"부산광역시 남구 수영로 298, 산암빌딩 6층 (대연동)",051-711-9876
의원,도마스이비인후과의원,"부산광역시 남구 용호로 189-2, 4층 (용호동)",051-627-9117
의원,동재비뇨기과의원,부산광역시 남구 용호로 144 (용호동),051-627-8825
의원,드라마피부과의원,"부산광역시 남구 분포로 111 (용호동, 엘지메트로시티 2상가 401호)",051-623-8900
의원,디올이비인후과의원,"부산광역시 남구 수영로 216, 미즈빌딩 1,9층 (대연동)",051-791-1100
의원,라인정형외과의원,"부산광역시 남구 유엔로 14, 우암 센텀 메디컬 4,5층 (우암동)","051-784-5112,3"
의원,레전드이비인후과의원,"부산광역시 남구 수영로 151-1, 3층 (대연동)",051-635-5075
의원,류마참내과의원,"부산광역시 남구 수영로 240-1, 5층 (대연동, 이지스퀘어빌딩)",365-8275
의원,류상효신경과의원,"부산광역시 남구 수영로 240, 정성약국 2층 (대연동)",051-710-8881
의원,리본마취통증의학과의원,"부산광역시 남구 수영로 323, 태강프라자 2층 202호 (대연동)",051-710-7576
의원,리온의원,"부산광역시 남구 수영로 364, 6층 (대연동)",051-626-8253
의원,리즈정신건강의학과의원,"부산광역시 남구 수영로 182-1 (대연동, 리즈메디칼4층)",051-639-3399
의원,마디튼튼프롤러의원,부산광역시 남구 수영로 182-1(대연동),051-638-7582
의원,마리여성의원,"부산광역시 남구 수영로 297, 동남CATV 4층 (대연동)",051-626-1009
의원,맑은솔이비인후과의원,"부산광역시 남구 수영로 260, 백리명가 2층 211호 (대연동)",051-711-4789
의원,메디아트의원,"부산광역시 남구 수영로 304, 4층 401호 일부호 (대연동, 대승타워)",051-628-7582
의원,메디칼안과의원,"부산광역시 남구 동명로 137, 2층 (용호동, 원진빌딩)",051-621-3434
의원,메트로성모안과의원,"부산광역시 남구 분포로 113, 1005동 5층 1호 (용호동, 엘지메트로시티아파트)",051-714-3652
의원,명이비인후과의원,부산광역시 남구 못골로12번길 84 (대연동),051-612-7119
의원,목화산부인과의원,"부산광역시 남구 수영로 225-1 (대연동, (3층))",051-628-1231~3
의원,못골이비인후과의원,"부산광역시 남구 수영로 206, 정학기정형외과 2층 (대연동)",051-612-0920
의원,문현사랑의원,부산광역시 남구 수영로 43 (문현동),051-644-9305
의원,미래의원,"부산광역시 남구 수영로266번길 36, 1층 (대연동)",051-622-6100
의원,미래이비인후과의원,"부산광역시 남구 분포로 115, 힐탑탑플레이스 A동 302호 (용호동)",051-623-7535
의원,민현주여성의원,"부산광역시 남구 수영로 27, 201호 (문현동, 금호빌딩)",051-638-8275
의원,바른눈안과의원,"부산광역시 남구 수영로 297, 동남CATV 2층 (대연동)",051-611-4455
의원,바른이비인후과의원,"부산광역시 남구 수영로 323, 601호 (대연동, 태강프라자)",051-611-8558
의원,바른자세재활의학과의원,"부산광역시 남구 분포로 115, B동 5층 503, 504호 (용호동, 힐탑탑플레이스)",051-622-0075
의원,박소양 산부인과 의원,"부산광역시 남구 분포로 111 (용호동, LG메트로시티 상가 1003-305호)",051-612-0004
의원,박언비뇨의학과의원,"부산광역시 남구 수영로 260, 백리명가에덴 5층 511,512호 (대연동)",051-622-5474
의원,박지훈정신건강의학과의원,"부산광역시 남구 수영로 330, 신화빌딩 3층 (대연동)",051-626-2525
의원,박현용내과의원,"부산광역시 남구 용호로 141, 5층 (용호동)",051-621-7105
의원,박홍석이비인후과의원,"부산광역시 남구 수영로 203 (대연동, 대연 메디칼센터 301호)",051-627-9517
의원,배성범정형외과의원,부산광역시 남구 우암로 100 (감만동),051-637-8275
의원,부산미래아이에프씨의원,"부산광역시 남구 전포대로 133, 3,4층일부층 (문현동)",051-710-2000
의원,뷰리안의원,"부산광역시 남구 용호로 141, 3층 (용호동)",051-997-7770
의원,뷰에르의원,"부산광역시 남구 분포로 145, 2108호 (용호동, 더블유)",051-621-1300
의원,블리비의원,"부산광역시 남구 수영로 300, VISION PLAZA 10층 101호 (대연동)",1833-9179
의원,비타민내과의원,"부산광역시 남구 용호로 152, 대성빌딩 2층 (용호동)",051-612-8273
의원,삼성스마트내과의원,"부산광역시 남구 용호로 207, KPM메티컬빌딩 2~5,8층 (용호동)",051-623-7003
의원,샤론의꽃의원,"부산광역시 남구 수영로 298, 13층 (대연동, 산암빌딩)",051-611-7400
의원,서달덕내과의원,"부산광역시 남구 진남로 206, 2층 (문현동)",051-645-7555
의원,서민정형외과의원,부산광역시 남구 용호로 132-1 (용호동),051-621-7890
의원,서울스카이재활의학과의원,"부산광역시 남구 수영로 324, 2층 201호 (대연동, 리마크빌 대연)",051-626-9111
의원,서울참정형외과의원,"부산광역시 남구 수영로 216, 미즈빌딩 2, 3층 (대연동)",051-791-1300
의원,서울최유라정신건강의학과의원,"부산광역시 남구 수영로 252, 김계영내과 4층 (대연동)",051-506-3233
의원,성모밝은안과의원,"부산광역시 남구 수영로 27, 5층 (문현동)",051-714-1083
의원,성찬의원,"부산광역시 남구 용호로 129, 2층 (용호동, 두산빌딩)",051-625-8575
의원,세종의원,"부산광역시 남구 수영로 30-1, 2,3층 (문현동)",051-642-9977
의원,세화의원,"부산광역시 남구 석포로 64, 2,3층 (감만동)",051-632-4392
의원,센텀연합의원,"부산광역시 남구 수영로 33, 2층 (문현동)",051-644-7582
의원,손내과의원,부산광역시 남구 석포로 123 (대연동),051-627-2626
의원,수미지이비인후과의원,"부산광역시 남구 수영로 304, 8층 (대연동, 대승타워)",051-612-8058
의원,수의원,"부산광역시 남구 석포로 34, 204호 (감만동, 국제아파트상가동)",633-7181
의원,슬기로운내과의원,"부산광역시 남구 고동골로 16, 2층 (문현동)",051-645-3388
의원,신남부의원,부산광역시 남구 용호로 16 (용호동),051-303-2250
의원,신봉식이비인후과의원,"부산광역시 남구 수영로 340, 3층 (대연동, 플러스빌딩)",623-7337
의원,신세종비뇨기과의원,"부산광역시 남구 수영로 203 (대연동, 501호)",051-628-8017
의원,신진근이비인후과의원,"부산광역시 남구 분포로 113, 1005동 303호 (용호동, 엘지메트로시티주상가)",051-612--5075
의원,신통정형외과의원,"부산광역시 남구 용호로 91, 휴렉스 3층 303호 (용호동)",051-928-2000
의원,심은희내과의원,"부산광역시 남구 수영로 241, 위대항병원 3층 (대연동)",051-928-3301
의원,아름다운피부과의원,"부산광역시 남구 분포로 115, 힐탑탑플레이스 A동 202호 (용호동)",051-863-0075
의원,아산김의원,"부산광역시 남구 황령대로319번가길 158-4, 1층 104호 (대연동)",051-626-8835
의원,아이앤맘정신건강의학과의원,"부산광역시 남구 수영로 216, 미즈빌딩 7층 (대연동)",051-715-9600
의원,안무경가정의학과의원,"부산광역시 남구 유엔평화로 152-2, 208호 (용당동, 용당한신문화타운상가)",051-626-3030
의원,양성연내과의원,"부산광역시 남구 분포로 115, A동 3층 303호 (용호동, 힐탑탑플레이스)",051-624-7582
의원,에스산부인과의원,"부산광역시 남구 용호로 141, 2층 (용호동)",051-715-7977
의원,영진의원,부산광역시 남구 못골로 71 (대연동),051-628-1600
의원,예뻐지는의원,"부산광역시 남구 수영로 300, 402호 (대연동, 비젼프라자)",051-628-7212
의원,오동원신경정신과의원,부산광역시 남구 수영로 273 (대연동),051-624-7010
의원,오륙도신경외과의원,"부산광역시 남구 용호로 141 (용호동, 메디칼빌딩4층전체)",611-2621
의원,오아시스의원,"부산광역시 남구 진남로 4, 대연베델메디컬빌딩 5층 (대연동)",051-711-8400
의원,온누리메디칼의원,"부산광역시 남구 용호로 64, 중앙해수월드 3,4층층 (용호동)",051-624-0600
의원,올바른신경외과의원,"부산광역시 남구 수영로 184, 4층 (대연동)",051-715-8212
의원,용호메트로마취통증의학과의원,"부산광역시 남구 용호로 48, 대성빌딩 일부2층,3,5층 (용호동)",051-923-9988
의원,용호제일의원,"부산광역시 남구 용호로90번길 20, 1층 일부호 (용호동)",051-627-7622
의원,우리가정의학과의원,"부산광역시 남구 오륙도로 85 (용호동, 오륙도 SK VIEW)",051-622-5690
의원,우재곤내과의원,"부산광역시 남구 수영로 21, 3층 (문현동)",051-633-7740~1
의원,위대한의원,부산광역시 남구 용호로 91 (용호동),051-711-6688
의원,유솜마취통증의학과의원,"부산광역시 남구 수영로 260, 제1동 7층 711,712호 (대연동)",051-710-4114
의원,유재덕의원,부산광역시 남구 고동골로 80 (문현동),051-645-7832
의원,윤성식이비인후과의원,부산광역시 남구 용호로 147 (용호동),051-621-4271
의원,윤종근이비인후과의원,"부산광역시 남구 수영로 230, 2층 (대연동)",051-639-7575
의원,윤현기정형외과의원,부산광역시 남구 고동골로 16 (문현동),051-644-8275
의원,이강룡내과의원,부산광역시 남구 용호로 213 (용호동),051-627-7474
의원,이균태내과의원,부산광역시 남구 용호로 147 (용호동),051-625-3100
의원,이기대정형외과의원,"부산광역시 남구 용호로 154, 2,3,6,9층 (용호동, 용호메디칼센타)",051-627-8875
의원,이든정신건강의학과의원,"부산광역시 남구 수영로 260, 6층 612호 (대연동)",051-621-1077
의원,이만재내과의원,부산광역시 남구 황령대로 488 (대연동),051-622-2233
의원,이병구내과의원,부산광역시 남구 용호로 155-1 (용호동),051-623-7092
의원,이수근정신건강의학과의원,"부산광역시 남구 수영로 203 (대연동, 701호)",051-611-5878
의원,이승모내과의원,부산광역시 남구 수영로 215 (대연동),051-628-2520
의원,이외과의원,부산광역시 남구 용호로 227 (용호동),051-628-8176
의원,이의원,"부산광역시 남구 유엔로 10 (우암동, 뉴서울아파트)",051-633-2544
의원,이정형외과의원,부산광역시 남구 용호로 173 (용호동),051-622-2727
의원,이화산부인과의원,"부산광역시 남구 수영로 216-2, 2~4층 (대연동)",051-628-9888
의원,일신소아청소년과의원,"부산광역시 남구 분포로 113, 1005동 304호 (용호동, 엘지메트로시티)",051-611-6181
의원,전광제통의원,"부산광역시 남구 황령대로492번길 8, 4층 (대연동, 영보빌딩)",051-746-4812
의원,정문호내과 의원,부산광역시 남구 석포로 67 (감만동),051-642-1847
의원,정우창성형외과의원,"부산광역시 남구 수영로 300, 6층 (대연동, 비젼프라자)",051-624-6611
의원,정학기정형외과의원,부산광역시 남구 수영로 206 (대연동),051-627-5900
의원,정한호내과의원,부산광역시 남구 수영로 196 (대연동),051-611-7677
의원,정해철내과의원,부산광역시 남구 수영로 17 (문현동),051-645-8300
의원,제정의원,부산광역시 남구 천제등로 29 (대연동),051-627-4919
의원,조영이비인후과의원,"부산광역시 남구 분포로 111, 1003동 203호 (용호동, 엘지메트로시티)",051-612-3119
의원,조은의원,부산광역시 남구 장고개로 108 (문현동),051-647-7630
의원,조이정형외과의원,"부산광역시 남구 수영로 277 (대연동, 라온빌딩3,4,6층)",051-611-7285
의원,조진수소아청소년과 의원,부산광역시 남구 용호로 200 (용호동),051-625-9933
의원,지유네피부과의원,"부산광역시 남구 수영로 163, 2층 (대연동)",051-635-1011
의원,진내과의원,"부산광역시 남구 수영로 340 (대연동, 대연메디컬빌딩 2충)",051-627-0360
의원,진도순이비인후과의원,부산광역시 남구 수영로 25 (문현동),051-646-4321
의원,참사랑복지의원,"부산광역시 남구 장고개로 6-1, 2층 (우암동)",647-4002
의원,참사랑의원,부산광역시 남구 전포대로92번길 6 (문현동),051-527-3331
의원,참조은안과의원,"부산광역시 남구 수영로 246 (대연동, 2.3층일부)",051-717-0375
의원,천내과의원,부산광역시 남구 홍곡로 4 (감만동),051-631-7507
의원,천용준정신건강의학과의원,"부산광역시 남구 용호로 50, 4층 (용호동)",051-755-1155
의원,청담포유의원,"부산광역시 남구 용소로 4 (대연동, 동아빌딩7층)",051-625-2899
의원,최계두내과의원,부산광역시 남구 수영로 203 (대연동),051-621-0603
의원,최원복소아청소년과의원,"부산광역시 남구 수영로 323, 태강프라자 201호 (대연동)",051-628-7711~2
의원,최정화소아청소년과의원,"부산광역시 남구 분포로 113, 1001동 206호 (용호동, 엘지메트로시티분산1상가))",051-612-1275
의원,치항외과의원,"부산광역시 남구 용호로 135, 4층 (용호동, 성호빌딩)",051-628-7508
의원,코끼리소아청소년과의원,"부산광역시 남구 진남로127번길 8, 2층 (대연동)",051-633-8200
의원,코앤핑이비인후과의원,"부산광역시 남구 못골로 87, 2층 203호 (대연동)",051-946-1000
의원,큰나무정형외과의원,"부산광역시 남구 용호로 54, 8층 (용호동, 대영빌딩)",051-625-6119
의원,클라쎄피부과의원,"부산광역시 남구 용호로 50 (용호동, 범양빌딩)",051-622-7500
의원,클린앤뷰티의원,"부산광역시 남구 수영로 304, 5층 (대연동, 대승타워)",051-612-7746
의원,킴스피부과의원,"부산광역시 남구 수영로 297, 8층 (대연동, 텔콤빌딩)",051-611-9999
의원,태진의원,"부산광역시 남구 우암로 166, 2층 (우암동, 선한교회)",051-637-1106
의원,편한숲정신건강의학과의원,"부산광역시 남구 수영로 323, 태강프라자 403호 (대연동)",051-710-0235
의원,평화의원,부산광역시 남구 용호로42번길 79 (용호동),051-622-3072
의원,한길내과의원,"부산광역시 남구 유엔로 14, 2층 (우암동, 우암 센텀 메디컬)",051-633-1332
의원,한빛내과의원,"부산광역시 남구 전포대로 69, 2층 (문현동)",051-645-6566
의원,한정욱이비인후과의원,"부산광역시 남구 수영로 27, 3층일부층 (문현동)",051-636-9419
의원,헬로소아청소년과의원,"부산광역시 남구 수영로 345, 115동 3층 309호 (대연동, 대연힐스테이트푸르지오)",051-612-0677
의원,현명기피부과의원,부산광역시 남구 수영로 206 (대연동),051-627-6677
의원,홍제마취통증의학과의원,"부산광역시 남구 수영로 185, 2층 (대연동)",051-637-4828
치과의원,e라인치과의원,"부산광역시 남구 수영로 299 (대연동, 루미너스타워7층일부)",612-2885
치과의원,W 치과의원,"부산광역시 남구 수영로 323, 4층 402호 (대연동, 태강프라자)",051-625-2842
치과의원,고려치과의원,"부산광역시 남구 유엔평화로3번길 5, 101호 일부호 (대연동)",051-611-0050
치과의원,구자룡치과 의원,부산광역시 남구 수영로366번길 2 (대연동),051-622-7876
치과의원,그랜드치과의원,"부산광역시 남구 동명로 139, 2층 (용호동)",264-2875
치과의원,김우진 치과의원,"부산광역시 남구 용호로 88 (용호동, 명진빌딩 6층)",051-621-2875
치과의원,김원일치과 의원,부산광역시 남구 우암로 240 (우암동),051-647-7996
치과의원,김준영치과의원,부산광역시 남구 용호로 194 (용호동),051-622-0552
치과의원,나란이치과교정과치과의원,"부산광역시 남구 용호로 50, 2층 (용호동)",051-625-2885
치과의원,나원섭치과 의원,"부산광역시 남구 수영로 237 (대연동, 대연 메디타워 402호)",051-625-8102
치과의원,다솜부부치과의원,부산광역시 남구 용호로 50 (용호동),051-626-2879
치과의원,닥터뉴욕치과의원,"부산광역시 남구 황령대로492번길 8, 영보빌딩 2층 (대연동)",051-627-2275
치과의원,닥터안치과의원,"부산광역시 남구 용주로6번길 30, 신국제약국 2층 (용호동)",051-611-1022
치과의원,대명치과의원,"부산광역시 남구 못골로 87, 대연스퀘어 A동 3층 301.302호 (대연동)",051-621-2502
치과의원,대연건치과의원,"부산광역시 남구 못골로12번길 35, 대동레미안센트럴시티 401호~404호 (대연동)",051-633-2801
치과의원,대연어린이치과의원,"부산광역시 남구 수영로 324, 리마크빌 대연 2층 205호 일부호 (대연동)",051-791-1275
치과의원,대연유치과의원,"부산광역시 남구 수영로 196, 3층 (대연동)",051-711-2833
치과의원,대연혁신치과의원,"부산광역시 남구 수영로 345, 115동 303호 (대연동, ,대연힐스테이트푸르지오)",051-757-5656
치과의원,더굿치과의원,"부산광역시 남구 수영로 190, 4층 일부호 (대연동)",051-638-8313
치과의원,더바른이 치과의원,"부산광역시 남구 수영로 297 (대연동, 서전텔콤빌딩 2층)",051-626-7527
치과의원,도시치과의원,"부산광역시 남구 수영로 26 (문현동, 시티프라자 230호)",051-643-2030
치과의원,드림패밀리치과의원,부산광역시 남구 용호로 54 (용호동),051-622-2875
치과의원,디엘치과의원,"부산광역시 남구 유엔로 14, 3층 (우암동, 우암센텀메디컬)",051-636-7528
치과의원,디지털닥터정치과의원,"부산광역시 남구 분포로 145, 2077호 (용호동, 더블유)",051-611-2275
치과의원,레진치과의원,"부산광역시 남구 용호로 48, 대성빌딩 2층 (용호동)",051-959-1000
치과의원,로덴치과의원,"부산광역시 남구 분포로 113, 1005동 302호 (용호동, 엘지메트로시티주상가)",051-612-1928
치과의원,로덴치과의원,"부산광역시 남구 수영로 241, 9층 (대연동)",051-634-2875
치과의원,"로덴치과의원(경성대,부경대점)","부산광역시 남구 용소로 7 (대연동, 청라빌딩 5,6층)",051-989-2875~6
치과의원,로운치과의원,"부산광역시 남구 분포로 145, 스퀘어동 2087-2호 (용호동, 더블유)",051-627-2888
치과의원,메디스치과의원,"부산광역시 남구 수영로 295, 4층 (대연동)",051-627-7475
치과의원,명인이플란트치과의원,"부산광역시 남구 수영로 223, 삼창빌딩 1층 (대연동)",051-715-2870
치과의원,명진메디칼치과 의원,"부산광역시 남구 수영로 203, 601호 (대연동)",051-626-3783
치과의원,모든이치과 의원,"부산광역시 남구 수영로 209, 102동 301호 (대연동, 일동지에닌아파트)",051-621-2080
치과의원,문현치과의원,부산광역시 남구 수영로 25 (문현동),051-632-7797
치과의원,미듬치과의원,"부산광역시 남구 용호로 141, 3층 (용호동)",051)900-2879
치과의원,미래치과의원,"부산광역시 남구 용호로198번길 2, 2층 (용호동)",051-621-2804
치과의원,미소플란트치과의원,"부산광역시 남구 수영로 304, 3층 (대연동, 대승타워)",051-621-2876~7
치과의원,미치과의원,"부산광역시 남구 수영로 323, 702호 (대연동, 태강플라자)",051-628-6111
치과의원,바른얼굴덕치과의원,"부산광역시 남구 수영로 261, 대연 SK VIEW Hills 401동 2층 208,209호 (대연동, 대연 SK VIEW Hills)",051-623-2080
치과의원,바른플란트치과의원,"부산광역시 남구 수영로 240 (대연동, 이지스퀘어3층301호)",051-624-2835
치과의원,박동균치과 의원,"부산광역시 남구 수영로 277 (대연동, 라오빌딩 5층)",051-624-2826
치과의원,박철흠치과 의원,부산광역시 남구 용호로 95 (용호동),051-628-7616
치과의원,밝은미소치과의원,부산광역시 남구 분포로 113 (용호동),051)628-9797
치과의원,별빛치과의원,"부산광역시 남구 수영로 200, 2층 (대연동)",051-624-2875
치과의원,부광치과의원,부산광역시 남구 진남로 197 (문현동),051-642-2875
치과의원,부산미래IFC치과의원,"부산광역시 남구 전포대로 133, IFC 4층 402호 (문현동)",070-8853-9444
치과의원,부산샬롬치과의원,부산광역시 남구 수영로 27 (문현동),051-637-7528
치과의원,뷰티스마일치과의원,"부산광역시 남구 수영로325번길 11,  마로니에타운304호 (대연동)",051-624-2804
치과의원,뷰티플란트치과의원,"부산광역시 남구 수영로 169, 5층 501호 (대연동)",051-715-2879
치과의원,삐뚤한이바르게치과교정과치과의원,"부산광역시 남구 용소로 4, 8층 (대연동)",051-715-2833
치과의원,새로운치과의원,부산광역시 남구 수영로 195-5 (대연동),051-633-2804
치과의원,새이치과의원,"부산광역시 남구 석포로 76, 4층 (대연동)",051-644-2825
치과의원,서울리더스치과의원,"부산광역시 남구 문현금융로 40 (문현동, 부산국제금융센터 BIFC몰상가 302호)",051-637-2879
치과의원,서울미시간치과의원,"부산광역시 남구 수영로 297, 4층 (대연동)",051-703-7704
치과의원,서울프라임치과의원,"부산광역시 남구 수영로 228, 2층 (대연동, 부산아동병원)",051-642-1876
치과의원,성민치과의원,"부산광역시 남구 홍곡로 360, 401동 2층 206~209호 (대연동, 대연파크푸르지오)",051-627-1809
치과의원,성소치과의원,"부산광역시 남구 수영로 175, 5층 (대연동, SMG빌딩)",051)627-0275
치과의원,수부부치과의원,"부산광역시 남구 수영로 298, 5층 (대연동, 선암빌딩)",051-628-8020
치과의원,시온치과의원,부산광역시 남구 수영로 230 (대연동),621-2822
치과의원,신일치과의원,"부산광역시 남구 석포로 46-1, 2층 (감만동)",051-634-5896
치과의원,신향근치과의원,"부산광역시 남구 수영로 340, 5층 (대연동)",051-626-1367
치과의원,심지영치과의원,"부산광역시 남구 분포로 113, 303호 (용호동, LG메트로시티주상가)",051-612-2875
치과의원,심플치과의원,"부산광역시 남구 수영로 299 (대연동, 루미너스타워6층)",051-991-0022
치과의원,아이비치과의원,"부산광역시 남구 석포로 128, 2층 (대연동)",051-506-2875
치과의원,연 치과의원,부산광역시 남구 용호로 135 (용호동),051-621-0082
치과의원,연세치과 의원,"부산광역시 남구 분포로 111, 301호 (용호동, 엘지메트로시티)",051-929-2875
치과의원,염정배치과 의원,부산광역시 남구 수영로219번길 5 (대연동),051-627-2935
치과의원,오아시스치과의원,"부산광역시 남구 분포로 115, 힐탑탑플레이스 A동 203호 (용호동)",051-710-5277
치과의원,오즈어린이치과의원,"부산광역시 남구 수영로 286 (대연동, 유일프라자 4층)",051-611-2875
치과의원,온부부치과의원,부산광역시 남구 용호로 159 (용호동),051-611-2825
치과의원,용호탑치과의원,"부산광역시 남구 용호로 127, 3층 (용호동)",051-623-8828
치과의원,우리가족치과의원,"부산광역시 남구 용호로 207, 601호 (용호동)",051-791-2822
